UserId,Date,FAttacker1,FAttacker2,FAttacker3,FAttacker4,FSpecial1,FSpecial2,Formation,EAttacker1,EAttacker2,EAttacker3,EAttacker4,ESpecial1,ESpecial2,Result
玉,2024-07-12,Yuuka(SW),Shun,Marina,Tsubaki,Shiroko(SS),Ayane(SS),进攻,Marina,Iori,Yuuka,Shun,Iroha,Shiroko(SS),胜利
尹,2024-07-12,Hanako(SS),Marina,Atsuko,Shun,Shiroko(SS),Ayane(SS),进攻,Hanako(SS),Tsubaki,Yuuka,Mika,Shiroko(SS),Minori,胜利
赤红之翼,2024-07-12,Hanako(SS),Marina,Atsuko,Shun,Shiroko(SS),Ayane(SS),进攻,Tsubaki,Haruna,Iori,Yuuka,Iroha,Serina,胜利
大吴疆土,2024-07-12,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Iori,Tsubaki,Haruna(NY),Yuuka,Miyu(SS),Shiroko(SS),胜利
zzman,2024-07-12,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Yuuka,Mika,Shun,Haruna(NY),Shiroko(SS),Nagisa,失败
星野不让我用力哭哭,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Hanako(SS),Tsubaki,Hoshino,Iori,Nagisa,Shiroko(SS),胜利
甲氟麟酸异丙酯,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Hanako(SS),Shun,Haruna(NY),Tsubaki,Nagisa,Shiroko(SS),胜利
煌月,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Shun,Yuuka,Mika,Iori,Iroha,Shiroko(SS),失败
梦幻的灵blda,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Shun,Mika,Hanako(SS),Marina,Serina,Iroha,失败
大吴疆土,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Iori,Tsubaki,Haruna(NY),Yuuka,Miyu(SS),Shiroko(SS),失败
Owo,2024-07-13,Shun,Tsubaki,Marina,Hanako(SS),Shiroko(SS),Ayane(SS),进攻,Shun,Yuuka,Mika,Tsubaki,Himari,Iroha,失败
Aimer,2024-07-13,Shun,Marina,Atsuko,Hanako(SS),Shiroko(SS),Ayane(SS),防守,Yuuka,Shun,Hanako(SS),Iori,Ayane(SS),Serina,失败
