UserId,Date,FAttacker1,FAttacker2,FAttacker3,FAttacker4,FSpecial1,FSpecial2,Formation,EAttacker1,EAttacker2,EAttacker3,EAttacker4,ESpecial1,ESpecial2,Result
困,2024-07-06,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Tsubaki,Iori,Marina,Shun,Iroha,Hibiki,胜利
後褥星野一千遍,2024-07-06,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Iori,Yuuka,Shun,Tsubaki,Hibiki,Iroha,胜利
寂寥人生,2024-07-06,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Yuuka,Tsubaki,Iori,Shun,Mashiro(SS),Iroha,胜利
CCC,2024-07-06,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Shun,Marina,Yuuka,Haruka,Nodoka(HS),Iroha,胜利
陪168摸鱼,2024-07-06,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Shun,Marina,Yuuka,Iori,Mashiro(SS),Iroha,失败
幽雨倾城,2024-07-06,Iori,Shun,Marina,Haruka,Mashiro,Ayane(SS),进攻,Iori,Shun,Tsubaki,Yuuka,Nodoka(HS),Iroha,胜利
真的不卷啦,2024-07-12,Shun,Yuuka,Tsubaki,Iori,Serina,Iroha,进攻,Tsubaki,Shun,Yuuka,Iori,Iroha,Serina,胜利
真的不卷啦,2024-07-12,Shun,Yuuka,Tsubaki,Iori,Serina,Iroha,进攻,Tsubaki,Shun,Yuuka,Iori,Iroha,Serina,胜利
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
後褥星野一千遍,2024-07-12,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Iori,Yuuka,Shun,Tsubaki,Hibiki,Iroha,胜利
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
星野露露,2024-07-12,Yuuka,Iori,Tsubaki,Shun,Serina,Iroha,进攻,Shun,Haruka,Iori,Tsubaki,Iroha,Hibiki,失败
梨子,2024-07-13,Iori,Shun,Tsubaki,Yuuka,Iroha,Serina,防守,Hoshino,Iori,Shun,Yuuka,Nodoka(HS),Iroha,胜利
仁义无双老司机,2024-07-15,Shun,Yuuka,1NoData,1NoData,Nodoka(HS),Mashiro,进攻,Yuuka,Cherino,Shun,Marina,Nodoka(HS),Iroha,胜利
低通滤波器,2024-07-15,Iori,Tsubaki,Yuuka,Shun,Serina,Iroha,进攻,Tsubaki,Yuuka,Shun,Iori,Serina,Iroha,胜利
archer,2024-07-15,Iori,Tsubaki,Yuuka,Shun,Serina,Iroha,进攻,Yuuka,Haruka,Shun,Hoshino,Iroha,Nodoka(HS),胜利
天野,2024-07-15,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Marina,Yuuka,Mutsuki(NY),Shun,Nodoka(HS),Iroha,胜利
能文能武非常英俊的陈,2024-07-15,Shun,Tsubaki,Yuuka,Iori,Serina,Iroha,进攻,Shun,Haruka,Marina,Iori,Iroha,Serina,胜利
白,2024-07-15,Tsubaki,Shun,Yuuka,Serina,Iroha,1NoData,进攻,Haruka,Iori,Yuuka,Shun,Nodoka(HS),Iroha,胜利
jjc别打我啊,2024-07-16,Tsubaki,Shun,Yuuka,Serina,Iroha,1NoData,进攻,Tsubaki,Yuuka,Iori,Shun,Serina,Iroha,胜利
卡莉期波,2024-07-16,Tsubaki,Shun,Yuuka,Serina,Iroha,1NoData,进攻,Shun,Marina,Iori,Yuuka,Iroha,Nodoka(HS),失败
Zich,2024-07-16,Haruka,Shun,Yuuka,Iori,Serina,Iroha,进攻,Iori,Shun,Tsubaki,Yuuka,Mashiro(SS),Iroha,失败
优香我的优香,2024-07-16,Tsubaki,Shun,Yuuka,Serina,Iroha,1NoData,进攻,Marina,Tsubaki,Yuuka,Shun,Nodoka(HS),Iroha,胜利
WINTER,2024-07-16,Wakamo,Yuuka,Shun,Tsubaki,Serina,Iroha,进攻,Atsuko,Yuuka,Iori,Shun,Serina,Iroha,胜利
